TransactionID,Item1,Item2,Item3,Item4,Item5
252,screen protector,power bank,headphones,,
253,screen protector,laptop charger,wireless mouse,phone stand,
254,phone case,screen protector,,,
255,phone case,,,,
256,phone case,screen protector,power bank,headphones,Bluetooth speaker
257,phone case,screen protector,webcam,,
258,laptop charger,USB cable,keyboard,,
259,phone case,screen protector,power bank,headphones,
260,screen protector,power bank,headphones,,
261,laptop charger,USB cable,wireless mouse,keyboard,
262,USB cable,power bank,headphones,,
263,screen protector,,,,
264,screen protector,laptop charger,wireless mouse,phone stand,keyboard
265,phone case,USB cable,power bank,headphones,
266,phone case,power bank,headphones,,
267,phone case,screen protector,power bank,headphones,USB cable
268,phone case,USB cable,power bank,headphones,laptop charger
269,USB cable,wireless mouse,keyboard,,
270,phone case,screen protector,wireless mouse,,
271,phone case,screen protector,laptop charger,,
272,laptop charger,USB cable,wireless mouse,keyboard,phone stand
273,screen protector,laptop charger,wireless mouse,phone stand,Bluetooth speaker
274,phone case,screen protector,Bluetooth speaker,,
275,screen protector,power bank,headphones,,
276,laptop charger,USB cable,wireless mouse,keyboard,Bluetooth speaker
277,laptop charger,USB cable,wireless mouse,keyboard,headphones
278,phone case,screen protector,power bank,,
279,phone case,screen protector,headphones,,
280,phone case,USB cable,power bank,headphones,tablet cover
281,phone case,power bank,headphones,,
282,phone case,screen protector,power bank,,
283,phone case,screen protector,headphones,,
284,USB cable,wireless mouse,keyboard,,
285,screen protector,laptop charger,wireless mouse,phone stand,
286,laptop charger,USB cable,wireless mouse,keyboard,
287,screen protector,laptop charger,wireless mouse,phone stand,phone case
288,phone case,USB cable,power bank,headphones,
289,laptop charger,wireless mouse,keyboard,,
290,phone case,power bank,headphones,,
291,phone case,screen protector,power bank,,
292,phone case,USB cable,headphones,,
293,screen protector,laptop charger,wireless mouse,phone stand,webcam
294,phone case,screen protector,headphones,,
295,phone case,USB cable,power bank,,
296,laptop charger,USB cable,wireless mouse,,
297,phone case,screen protector,power bank,headphones,webcam
298,screen protector,power bank,headphones,,
299,phone case,screen protector,power bank,headphones,
300,laptop charger,USB cable,wireless mouse,keyboard,
301,screen protector,power bank,headphones,,
302,phone case,screen protector,USB cable,,
303,laptop charger,USB cable,keyboard,,
304,laptop charger,USB cable,wireless mouse,keyboard,headphones
305,phone case,power bank,headphones,,
306,screen protector,,,,
307,phone case,power bank,headphones,,
308,phone case,screen protector,Bluetooth speaker,,
309,phone case,,,,
310,phone case,screen protector,power bank,,
311,laptop charger,USB cable,wireless mouse,keyboard,
312,laptop charger,wireless mouse,keyboard,,
313,phone case,USB cable,power bank,headphones,phone stand
314,screen protector,,,,
315,phone case,screen protector,USB cable,,
316,screen protector,laptop charger,wireless mouse,phone stand,
317,phone case,,,,
318,screen protector,laptop charger,phone stand,,
319,screen protector,laptop charger,wireless mouse,phone stand,tablet cover
320,phone case,screen protector,power bank,,
321,phone case,USB cable,power bank,,
322,USB cable,wireless mouse,keyboard,,
323,screen protector,laptop charger,wireless mouse,,
324,phone case,,,,
325,laptop charger,USB cable,wireless mouse,keyboard,phone case
326,laptop charger,USB cable,wireless mouse,,
327,screen protector,,,,
328,phone case,,,,
329,phone case,USB cable,power bank,headphones,screen protector
330,screen protector,power bank,headphones,,
331,phone case,USB cable,power bank,headphones,webcam
332,phone case,USB cable,headphones,,
333,screen protector,power bank,headphones,,
334,screen protector,laptop charger,wireless mouse,,
335,phone case,power bank,headphones,,
336,phone case,power bank,headphones,,
337,laptop charger,USB cable,wireless mouse,keyboard,screen protector
338,phone case,screen protector,,,
339,screen protector,power bank,headphones,,
340,phone case,screen protector,headphones,,
341,screen protector,laptop charger,wireless mouse,phone stand,USB cable
342,screen protector,laptop charger,wireless mouse,phone stand,
343,phone case,USB cable,power bank,headphones,keyboard
344,phone case,screen protector,headphones,,
345,phone case,USB cable,power bank,headphones,wireless mouse
346,phone case,,,,
347,laptop charger,USB cable,wireless mouse,keyboard,
348,laptop charger,wireless mouse,phone stand,,
349,phone case,screen protector,keyboard,,
350,laptop charger,USB cable,keyboard,,
351,screen protector,laptop charger,wireless mouse,phone stand,
352,phone case,USB cable,power bank,headphones,
353,phone case,screen protector,power bank,headphones,wireless mouse
354,laptop charger,USB cable,wireless mouse,,
355,phone case,screen protector,wireless mouse,,
356,screen protector,laptop charger,wireless mouse,,
357,phone case,screen protector,webcam,,
358,laptop charger,USB cable,wireless mouse,keyboard,Bluetooth speaker
359,phone case,power bank,headphones,,
360,phone case,,,,
361,phone case,screen protector,power bank,headphones,phone stand
362,laptop charger,wireless mouse,phone stand,,
363,phone case,USB cable,power bank,headphones,laptop charger
364,phone case,screen protector,laptop charger,,
365,phone case,USB cable,headphones,,
366,laptop charger,wireless mouse,phone stand,,
367,laptop charger,USB cable,wireless mouse,,
368,screen protector,laptop charger,phone stand,,
369,phone case,USB cable,power bank,headphones,phone stand
370,USB cable,wireless mouse,keyboard,,
371,phone case,power bank,headphones,,
372,laptop charger,USB cable,keyboard,,
373,phone case,screen protector,headphones,,
374,phone case,USB cable,power bank,,
375,phone case,USB cable,headphones,,
376,phone case,screen protector,keyboard,,
377,screen protector,laptop charger,phone stand,,
378,phone case,,,,
379,laptop charger,USB cable,wireless mouse,keyboard,Bluetooth speaker
380,phone case,screen protector,webcam,,
381,screen protector,laptop charger,wireless mouse,phone stand,
382,laptop charger,USB cable,wireless mouse,keyboard,Bluetooth speaker
383,USB cable,wireless mouse,keyboard,,
384,phone case,USB cable,headphones,,
385,phone case,USB cable,power bank,headphones,laptop charger
386,screen protector,wireless mouse,phone stand,,
387,phone case,,,,
388,screen protector,power bank,headphones,,
389,laptop charger,USB cable,keyboard,,
390,phone case,USB cable,power bank,headphones,screen protector
391,laptop charger,USB cable,wireless mouse,keyboard,screen protector
392,screen protector,,,,
393,phone case,,,,
394,laptop charger,USB cable,wireless mouse,,
395,phone case,screen protector,power bank,headphones,wireless mouse
396,screen protector,laptop charger,wireless mouse,,
397,phone case,USB cable,power bank,,
398,phone case,,,,
399,screen protector,laptop charger,wireless mouse,phone stand,webcam
400,phone case,USB cable,power bank,headphones,phone stand
401,phone case,,,,
402,phone case,USB cable,headphones,,
403,laptop charger,USB cable,wireless mouse,,
404,screen protector,laptop charger,wireless mouse,phone stand,
405,phone case,USB cable,power bank,headphones,webcam
406,phone case,USB cable,power bank,headphones,phone stand
407,screen protector,laptop charger,wireless mouse,,
408,screen protector,laptop charger,phone stand,,
409,phone case,screen protector,headphones,,
410,USB cable,wireless mouse,keyboard,,
411,phone case,screen protector,power bank,headphones,laptop charger
412,laptop charger,wireless mouse,phone stand,,
413,phone case,USB cable,power bank,headphones,webcam
414,laptop charger,USB cable,wireless mouse,keyboard,
415,phone case,screen protector,,,
416,screen protector,power bank,headphones,,
417,phone case,power bank,headphones,,
418,phone case,power bank,headphones,,
419,phone case,,,,
420,screen protector,laptop charger,phone stand,,
421,laptop charger,wireless mouse,phone stand,,
422,phone case,USB cable,power bank,headphones,screen protector
423,phone case,screen protector,power bank,headphones,
424,phone case,USB cable,power bank,headphones,phone stand
425,USB cable,wireless mouse,keyboard,,
426,phone case,,,,
427,laptop charger,USB cable,wireless mouse,keyboard,phone stand
428,screen protector,,,,
429,phone case,screen protector,power bank,headphones,wireless mouse
430,phone case,USB cable,headphones,,
431,phone case,screen protector,power bank,headphones,
432,screen protector,,,,
433,laptop charger,wireless mouse,phone stand,,
434,screen protector,power bank,headphones,,
435,phone case,screen protector,power bank,headphones,tablet cover
436,screen protector,,,,
437,laptop charger,USB cable,wireless mouse,keyboard,phone case
438,phone case,screen protector,power bank,headphones,laptop charger
439,USB cable,wireless mouse,keyboard,,
440,laptop charger,USB cable,wireless mouse,keyboard,Bluetooth speaker
441,phone case,screen protector,,,
442,phone case,screen protector,headphones,,
443,laptop charger,USB cable,wireless mouse,keyboard,power bank
444,screen protector,laptop charger,wireless mouse,phone stand,
445,laptop charger,USB cable,wireless mouse,keyboard,Bluetooth speaker
446,phone case,screen protector,headphones,,
447,phone case,screen protector,keyboard,,
448,laptop charger,USB cable,keyboard,,
449,laptop charger,USB cable,wireless mouse,keyboard,screen protector
450,USB cable,wireless mouse,keyboard,,
451,screen protector,laptop charger,wireless mouse,phone stand,
452,phone case,screen protector,tablet cover,,
453,phone case,,,,
454,phone case,USB cable,power bank,headphones,
455,screen protector,wireless mouse,phone stand,,
456,phone case,USB cable,power bank,headphones,phone stand
457,phone case,USB cable,headphones,,
458,phone case,screen protector,wireless mouse,,
459,laptop charger,USB cable,wireless mouse,keyboard,
460,phone case,screen protector,power bank,headphones,webcam
461,screen protector,laptop charger,wireless mouse,phone stand,phone case
462,phone case,screen protector,power bank,headphones,wireless mouse
463,phone case,screen protector,power bank,,
464,USB cable,power bank,headphones,,
465,laptop charger,wireless mouse,phone stand,,
466,phone case,screen protector,power bank,headphones,USB cable
467,phone case,USB cable,power bank,headphones,keyboard
468,laptop charger,USB cable,wireless mouse,keyboard,screen protector
469,phone case,USB cable,headphones,,
470,laptop charger,USB cable,wireless mouse,keyboard,phone stand
471,screen protector,laptop charger,wireless mouse,phone stand,headphones
472,USB cable,wireless mouse,keyboard,,
473,laptop charger,USB cable,wireless mouse,keyboard,headphones
474,phone case,screen protector,phone stand,,
475,USB cable,power bank,headphones,,
476,phone case,screen protector,power bank,,
477,laptop charger,USB cable,keyboard,,
478,laptop charger,USB cable,wireless mouse,,
479,phone case,USB cable,headphones,,
480,laptop charger,USB cable,wireless mouse,,
481,screen protector,laptop charger,wireless mouse,,
482,phone case,power bank,headphones,,
483,laptop charger,USB cable,wireless mouse,keyboard,headphones
484,screen protector,,,,
485,laptop charger,wireless mouse,keyboard,,
486,phone case,USB cable,power bank,headphones,keyboard
487,screen protector,laptop charger,wireless mouse,phone stand,Bluetooth speaker
488,USB cable,wireless mouse,keyboard,,
489,laptop charger,USB cable,wireless mouse,keyboard,phone stand
490,phone case,screen protector,tablet cover,,
491,USB cable,power bank,headphones,,
492,phone case,USB cable,power bank,headphones,wireless mouse
493,phone case,,,,
494,laptop charger,USB cable,wireless mouse,keyboard,
495,laptop charger,USB cable,wireless mouse,keyboard,
496,USB cable,power bank,headphones,,
497,phone case,screen protector,webcam,,
498,screen protector,,,,
499,screen protector,laptop charger,wireless mouse,phone stand,headphones
500,phone case,power bank,headphones,,
501,phone case,USB cable,power bank,headphones,
502,screen protector,laptop charger,wireless mouse,,
503,laptop charger,wireless mouse,keyboard,,
504,phone case,,,,
505,phone case,screen protector,power bank,headphones,phone stand
506,phone case,screen protector,,,
507,phone case,,,,
508,phone case,screen protector,keyboard,,
509,screen protector,laptop charger,wireless mouse,phone stand,tablet cover
510,phone case,USB cable,headphones,,
511,phone case,USB cable,power bank,,
512,phone case,screen protector,power bank,,
513,phone case,USB cable,power bank,headphones,screen protector
514,phone case,,,,
515,phone case,USB cable,headphones,,
516,phone case,screen protector,power bank,headphones,webcam
517,screen protector,laptop charger,phone stand,,
518,screen protector,,,,
519,phone case,USB cable,power bank,headphones,tablet cover
520,screen protector,power bank,headphones,,
521,USB cable,wireless mouse,keyboard,,
522,screen protector,,,,
523,laptop charger,USB cable,wireless mouse,keyboard,
524,laptop charger,USB cable,wireless mouse,keyboard,screen protector
525,phone case,USB cable,headphones,,
526,phone case,screen protector,power bank,headphones,
527,screen protector,laptop charger,wireless mouse,phone stand,
528,phone case,USB cable,headphones,,
529,phone case,,,,
530,laptop charger,USB cable,keyboard,,
531,phone case,power bank,headphones,,
532,phone case,,,,
533,phone case,USB cable,power bank,headphones,
534,screen protector,laptop charger,wireless mouse,phone stand,USB cable
535,screen protector,,,,
536,USB cable,wireless mouse,keyboard,,
537,phone case,USB cable,power bank,headphones,phone stand
538,phone case,power bank,headphones,,
539,phone case,screen protector,webcam,,
540,screen protector,laptop charger,wireless mouse,phone stand,
541,laptop charger,USB cable,wireless mouse,keyboard,
542,screen protector,laptop charger,wireless mouse,phone stand,tablet cover
543,laptop charger,USB cable,wireless mouse,,
544,phone case,,,,
545,phone case,,,,
546,laptop charger,USB cable,wireless mouse,,
547,screen protector,,,,
548,phone case,screen protector,headphones,,
549,phone case,screen protector,,,
550,phone case,USB cable,power bank,headphones,screen protector
551,phone case,USB cable,power bank,,
552,screen protector,laptop charger,wireless mouse,phone stand,power bank
553,laptop charger,wireless mouse,keyboard,,
554,laptop charger,wireless mouse,keyboard,,
555,phone case,USB cable,headphones,,
556,laptop charger,USB cable,wireless mouse,,
557,screen protector,,,,
558,laptop charger,USB cable,wireless mouse,keyboard,screen protector
559,phone case,screen protector,webcam,,
560,phone case,screen protector,power bank,,
561,phone case,USB cable,headphones,,
562,phone case,USB cable,power bank,headphones,
563,screen protector,laptop charger,wireless mouse,phone stand,tablet cover
564,phone case,power bank,headphones,,
565,laptop charger,USB cable,keyboard,,
566,screen protector,laptop charger,wireless mouse,phone stand,webcam
567,screen protector,wireless mouse,phone stand,,
568,phone case,USB cable,power bank,,
569,phone case,screen protector,headphones,,
570,phone case,USB cable,headphones,,
571,screen protector,,,,
572,screen protector,wireless mouse,phone stand,,
573,phone case,screen protector,laptop charger,,
574,laptop charger,wireless mouse,keyboard,,
575,phone case,screen protector,headphones,,
576,laptop charger,wireless mouse,keyboard,,
577,laptop charger,USB cable,wireless mouse,keyboard,headphones
578,phone case,USB cable,power bank,headphones,keyboard
579,laptop charger,USB cable,wireless mouse,keyboard,screen protector
580,phone case,power bank,headphones,,
581,screen protector,laptop charger,wireless mouse,phone stand,tablet cover
582,screen protector,,,,
583,laptop charger,USB cable,wireless mouse,keyboard,phone case
584,phone case,screen protector,power bank,,
585,phone case,USB cable,power bank,,
586,screen protector,laptop charger,wireless mouse,,
587,phone case,screen protector,power bank,,
588,phone case,screen protector,power bank,headphones,phone stand
589,USB cable,wireless mouse,keyboard,,
590,laptop charger,USB cable,wireless mouse,,
591,laptop charger,USB cable,wireless mouse,keyboard,
592,phone case,USB cable,power bank,,
593,screen protector,laptop charger,phone stand,,
594,screen protector,laptop charger,wireless mouse,phone stand,tablet cover
595,phone case,USB cable,power bank,headphones,
596,laptop charger,USB cable,wireless mouse,keyboard,
597,screen protector,laptop charger,wireless mouse,phone stand,headphones
598,screen protector,laptop charger,wireless mouse,phone stand,
599,USB cable,wireless mouse,keyboard,,
600,phone case,USB cable,headphones,,
601,phone case,USB cable,power bank,headphones,tablet cover
602,laptop charger,USB cable,keyboard,,
603,screen protector,laptop charger,phone stand,,
604,phone case,USB cable,power bank,headphones,webcam
605,screen protector,laptop charger,wireless mouse,,
606,screen protector,laptop charger,wireless mouse,phone stand,
607,laptop charger,USB cable,wireless mouse,,
608,screen protector,,,,
609,screen protector,,,,
610,USB cable,power bank,headphones,,
611,phone case,screen protector,power bank,headphones,webcam
612,screen protector,laptop charger,wireless mouse,phone stand,tablet cover
613,screen protector,laptop charger,wireless mouse,phone stand,webcam
614,phone case,USB cable,power bank,,
615,laptop charger,USB cable,keyboard,,
616,phone case,USB cable,headphones,,
617,phone case,,,,
618,phone case,USB cable,power bank,headphones,phone stand
619,phone case,USB cable,power bank,headphones,keyboard
620,laptop charger,USB cable,wireless mouse,keyboard,phone stand
621,screen protector,laptop charger,phone stand,,
622,phone case,screen protector,power bank,,
623,phone case,screen protector,headphones,,
624,screen protector,laptop charger,phone stand,,
625,phone case,USB cable,power bank,headphones,webcam
626,phone case,,,,
627,phone case,USB cable,power bank,,
628,screen protector,laptop charger,phone stand,,
629,screen protector,laptop charger,wireless mouse,phone stand,
630,screen protector,laptop charger,wireless mouse,phone stand,webcam
631,phone case,USB cable,power bank,headphones,phone stand
632,phone case,screen protector,power bank,headphones,phone stand
633,laptop charger,USB cable,wireless mouse,keyboard,phone case
634,phone case,screen protector,power bank,headphones,webcam
635,laptop charger,USB cable,wireless mouse,keyboard,tablet cover
636,screen protector,laptop charger,wireless mouse,,
637,screen protector,laptop charger,wireless mouse,phone stand,
638,laptop charger,USB cable,wireless mouse,keyboard,
639,phone case,screen protector,power bank,headphones,phone stand
640,phone case,screen protector,power bank,,
641,phone case,screen protector,power bank,headphones,phone stand
642,phone case,screen protector,webcam,,
643,phone case,screen protector,power bank,,
644,phone case,screen protector,webcam,,
645,laptop charger,USB cable,keyboard,,
646,USB cable,power bank,headphones,,
647,laptop charger,USB cable,keyboard,,
648,phone case,USB cable,power bank,headphones,
649,screen protector,laptop charger,wireless mouse,,
650,laptop charger,USB cable,wireless mouse,,
651,screen protector,wireless mouse,phone stand,,
652,phone case,screen protector,webcam,,
653,phone case,screen protector,headphones,,
654,screen protector,laptop charger,wireless mouse,,
655,phone case,power bank,headphones,,
656,screen protector,,,,
657,screen protector,laptop charger,phone stand,,
658,screen protector,power bank,headphones,,
659,screen protector,laptop charger,wireless mouse,phone stand,
660,screen protector,power bank,headphones,,
661,phone case,screen protector,headphones,,
662,screen protector,wireless mouse,phone stand,,
663,screen protector,laptop charger,wireless mouse,,
664,screen protector,,,,
665,laptop charger,USB cable,wireless mouse,,
666,screen protector,laptop charger,phone stand,,
667,USB cable,power bank,headphones,,
668,screen protector,laptop charger,wireless mouse,phone stand,
669,phone case,USB cable,power bank,headphones,screen protector
670,laptop charger,wireless mouse,phone stand,,
